c0 X,c0 Y
0,0
973,794
972,793
970,792
970,794
973,794
973,794
973,794
973,794
973,794
973,794
973,794
832,697
832,697
546,508
488,468
439,437
374,397
358,389
343,385
342,389
343,392
354,400
354,400
354,400
354,400
354,400
454,314
475,294
495,275
495,275
508,263
512,259
516,256
521,251
528,248
528,248
528,248
528,248
528,248
534,247
536,246
536,246
537,244
537,243
537,243
529,242
529,242
486,239
421,227
421,227
421,227
323,217
277,221
277,221
261,232
253,239
253,239
250,245
269,246
309,246
309,246
309,246
309,246
470,243
757,273
757,273
757,273
757,273
757,273
757,273
757,273
757,273
757,273
757,273
757,273
757,273
757,273
690,495
691,523
690,531
687,536
687,539
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
712,528
673,430
663,420
663,420
678,413
678,413
686,410
696,414
705,419
719,426
719,426
719,426
719,426
723,429
684,447
675,449
669,449
669,449
665,451
662,455
660,459
657,503
657,531
657,531
657,531
657,531
656,693
655,722
654,732
653,740
652,753
652,761
652,761
650,765
650,767
650,767
650,767
650,767
649,768
645,770
645,770
644,771
643,772
649,788
651,794
655,804
656,807
658,809
658,809
658,809
658,809
658,809
661,816
662,816
662,815
661,808
661,808
661,808
643,714
637,677
627,623
627,623
627,623
627,623
623,582
620,552
616,524
616,524
613,513
613,510
613,510
612,507
611,506
597,510
597,510
597,510
597,510
597,510
494,586
461,626
449,641
439,653
439,653
431,663
417,679
417,679
413,685
406,696
406,696
406,696
406,696
404,702
404,706
403,707
411,708
411,708
516,709
516,709
638,707
695,706
695,706
695,706
695,706
1215,742
1215,742
1279,750
1330,756
1408,766
1438,769
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1482,772
1340,689
1137,569
1061,526
1061,526
1061,526
1061,526
1061,526
989,489
795,400
795,400
767,388
960,392
960,392
960,392
960,392
960,392
960,392
960,392
960,392
960,392
1457,416
1457,416
1457,416
1457,416
1457,416
1457,416
1457,416
1457,416
1457,416
1457,416
1457,416
1457,416
1457,416
1457,416
1483,397
1522,370
1535,360
1547,353
1565,344
1572,342
1581,338
1585,336
1587,335
1587,335
1587,335
1587,335
1595,327
1597,327
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1599,329
1587,470
1587,470
1571,559
1413,588
1220,595
1129,597
1054,598
941,600
941,600
941,600
740,602
681,604
660,605
643,606
619,608
610,609
604,610
605,608
628,590
628,590
628,590
628,590
915,402
947,383
994,355
1011,345
1024,336
1043,324
1055,317
1060,315
1064,314
1064,314
1064,314
1064,314
1067,314
1067,314
1071,332
1071,333
1070,346
1068,358
1067,369
1065,385
1064,391
1064,391
1063,404
1063,407
1063,407
1119,431
1119,431
1119,431
1119,431
1119,431
1119,431
1119,431
1119,431
1119,431
1119,431
1119,431
1119,431
1119,431
1119,431
1365,489
1365,489
1418,502
1461,512
1496,521
1496,521
1496,521
1496,521
1496,521
1496,521
1496,521
1496,521
1496,521
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1545,452
1547,433
1547,427
1544,432
1541,445
1525,504
1513,544
1513,544
1513,544
1513,544
1496,612
1493,721
1493,721
1493,734
1493,739
1494,743
1500,750
1503,752
1517,759
1519,761
1519,761
1519,761
1519,761
1539,769
1587,793
1597,798
1601,801
1605,803
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1607,804
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1615,559
1621,429
1623,382
1623,382
1623,382
1623,382
1623,382
1623,382
1623,382
1623,382
1623,382
1623,382
1623,382
1628,352
1630,341
1628,330
1575,297
1492,267
1417,268
1252,275
1252,275
1122,276
1122,276
1122,276
1122,276
1074,274
804,265
780,264
734,264
734,264
725,264
709,265
694,265
694,265
690,265
690,265
690,265
690,265
690,265
643,265
601,268
568,270
568,270
526,276
480,283
480,283
471,283
458,285
458,285
458,285
458,285
454,286
447,281
447,279
447,277
446,273
446,273
446,271
444,266
442,262
442,262
442,262
442,262
442,262
439,271
439,271
459,273
572,266
635,261
716,257
850,253
912,253
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
970,252
1189,485
1267,567
1267,567
1267,567
1329,631
1377,667
1377,667
1377,667
1377,667
1538,745
1538,745
1557,742
1564,740
1577,733
1577,733
1580,731
1585,727
1589,724
1596,718
1596,718
1596,718
1596,718
1596,718
1609,708
1610,705
1611,701
1612,700
1613,699
1616,700
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1619,701
1623,687
1622,682
1622,681
1622,681
1622,681
1622,681
1628,683
1632,685
1632,685
1633,681
1633,681
1633,681
1633,681
1636,681
1636,681
1635,701
1635,701
1635,731
1634,744
1632,764
1631,772
1629,784
1629,784
1629,784
1629,784
1627,807
1627,807
1628,810
1628,815
1628,817
1627,821
1627,822
1627,823
1627,824
1626,826
1626,826
1626,826
1626,826
1626,826
1616,829
1615,830
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1614,833
1436,716
1436,716
1436,716
1436,716
1436,716
1180,547
1180,547
1180,547
1180,547
1180,547
1180,547
1180,547
1180,547
1180,547
1180,547
1128,560
1128,560
1052,578
1041,567
1086,527
1086,527
1091,524
1091,524
1091,524
1091,524
1091,524
1091,524
1091,524
1091,524
1091,524
1322,419
1322,419
1322,419
1322,419
1322,419
1322,419
1322,419
1322,419
1322,419
1322,419
1322,419
1322,419
1322,419
1322,419
1228,410
1195,406
1195,406
1195,406
1195,406
1195,406
1195,406
1239,373
1239,373
1239,373
1239,373
1239,373
1301,326
1301,326
